Artikelnr.,Ordercode,RoHS-compatibel?,Uw art.nr.,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
"1,2533871,RoHS: YES / FTALATEN: YES,,,20.0,""885012007045"",WURTH ELEKTRONIK,""WURTH ELEKTRONIK  SMD Multilayer Ceramic Capacitor, 1 pF, 50 V, 0805 [2012 Metric], ± 0.5pF, C0G / NP0"",2539,0.0613,1.23,,"
"2,2896520,RoHS: YES / FTALATEN: YES,,,10.0,""VJ0805A4R7BXACW1BC"",VISHAY,""VISHAY  SMD Multilayer Ceramic Capacitor, 4.7 pF, 50 V, 0805 [2012 Metric], ± 0.1pF, C0G / NP0, VJ Series"",2579,0.0773,0.77,,"
"3,2896503,RoHS: YES / FTALATEN: YES,,,10.0,""VJ0805A2R2BXAPW1BC"",VISHAY,""VISHAY  SMD Multilayer Ceramic Capacitor, 2.2 pF, 50 V, 0805 [2012 Metric], ± 0.1pF, C0G / NP0, VJ Series"",20065,0.0773,0.77,,"
"4,2524925,RoHS: YES / FTALATEN: YES,,,10.0,""0805N3R3C500CT"",WALSIN,""WALSIN  SMD Multilayer Ceramic Capacitor, General Purpose, 3.3 pF, 50 V, 0805 [2012 Metric], ± 0.25pF"",16827,0.0329,0.33,,"
"5,2332777,RoHS: YES / FTALATEN: YES,,,10.0,""08055A5R6CAT2A"",AVX,""AVX  SMD Multilayer Ceramic Capacitor, 5.6 pF, 50 V, 0805 [2012 Metric], ± 0.25pF, C0G / NP0"",7793,0.2540,2.54,,"
"6,2812176,RoHS: YES / FTALATEN: YES,,,10.0,""885012007099"",WURTH ELEKTRONIK,""WURTH ELEKTRONIK  SMD Multilayer Ceramic Capacitor, 0.5 pF, 100 V, 0805 [2012 Metric], ± 0.25pF, C0G / NP0"",3315,0.0864,0.86,,"
"7,1265503,RoHS: YES / FTALATEN: YES,,,10.0,""36502A10NJTDG"",TE CONNECTIVITY,""TE CONNECTIVITY  High Frequency Inductor, 10 nH, 36502A Series, 600 mA, 0805 [2012 Metric], Wirewound, 0.1 ohm"",140,0.5310,5.31,,"
"8,1265498,RoHS: YES / FTALATEN: YES,,,10.0,""2-1624113-4"",TE CONNECTIVITY,""TE CONNECTIVITY  High Frequency Inductor, 5.6 nH, 36502A Series, 600 mA, 0805 [2012 Metric], Wirewound, 0.08 ohm"",350,0.3960,3.96,,"
"9,1265499,RoHS: YES / FTALATEN: YES,,,10.0,""36502A6N8JTDG"",TE CONNECTIVITY,""TE CONNECTIVITY  High Frequency Inductor, 6.8 nH, 36502A Series, 600 mA, 0805 [2012 Metric], Wirewound, 0.11 ohm"",858,0.3570,3.57,,"
"10,1265504,RoHS: YES / FTALATEN: YES,,,10.0,""36502A12NJTDG"",TE CONNECTIVITY,""TE CONNECTIVITY  High Frequency Inductor, 12 nH, 36502A Series, 600 mA, 0805 [2012 Metric], Wirewound, 0.15 ohm"",1950,0.3280,3.28,,"
"11,2913054,RoHS: YES / FTALATEN: YES,,,10.0,""0805HP-18NXJRB"",COILCRAFT,""COILCRAFT  High Frequency Inductor, 18 nH, 0805HP Series, 1.2 A, 0805 [2012 Metric], Wirewound, 0.05 ohm"",1854,0.8320,8.32,,"
"12,2286404,RoHS: Y-EX / FTALATEN: YES,,,10.0,""0805CS-150XJLB"",COILCRAFT,""COILCRAFT  High Frequency Inductor, 15 nH, 0805CS Series, 600 mA, 0805 [2012 Metric], Wirewound, 0.17 ohm"",1008,1.0700,10.70,,"

,,,,,,,Subtotaal,41.65
,,,,,,,Totaal aantal goederen,41.65
,,,,,,,Levering,0.00
,,,,,,,BTW,8.75
,,,,,,,Totaal,50.39
